PR_type,bonus,bonus_rate,completed,condition,feedback,frequencyOfFB,info_cost,message,pid,version
featureBased,2.34,0.005,True,3,True,after_each_move,0.01,full,0,1A.1
featureBased,0.68,0.005,True,5,True,after_each_move,2.5,full,1,1A.1
none,1.31,0.005,True,0,False,after_each_move,0.01,none,2,1A.1
objectLevel,1.2,0.005,True,8,True,after_each_move,2.5,full,3,1A.1
featureBased,0.0,0.005,False,3,True,after_each_move,0.01,full,4,1A.1
objectLevel,3.31,0.005,True,7,True,after_each_move,1.0,full,5,1A.1
none,0.68,0.005,True,2,False,after_each_move,2.5,none,6,1A.1
none,1.7,0.005,True,1,False,after_each_move,1.0,none,7,1A.1
objectLevel,1.02,0.005,True,8,True,after_each_move,2.5,full,8,1A.1
objectLevel,0.32,0.005,True,8,True,after_each_move,2.5,full,9,1A.1
objectLevel,1.44,0.005,True,7,True,after_each_move,1.0,full,10,1A.1
objectLevel,2.98,0.005,True,7,True,after_each_move,1.0,full,11,1A.1
none,2.83,0.005,True,1,False,after_each_move,1.0,none,12,1A.1
none,3.13,0.005,True,1,False,after_each_move,1.0,none,13,1A.1
objectLevel,2.45,0.005,True,6,True,after_each_move,0.01,full,14,1A.1
none,0.96,0.005,True,2,False,after_each_move,2.5,none,15,1A.1
featureBased,0.0,0.005,False,3,True,after_each_move,0.01,full,16,1A.1
none,2.68,0.005,True,0,False,after_each_move,0.01,none,17,1A.1
none,2.74,0.005,True,1,False,after_each_move,1.0,none,18,1A.1
none,1.87,0.005,True,0,False,after_each_move,0.01,none,19,1A.1
none,3.43,0.005,True,1,False,after_each_move,1.0,none,20,1A.1
featureBased,2.84,0.005,True,3,True,after_each_move,0.01,full,21,1A.1
featureBased,3.03,0.005,True,4,True,after_each_move,1.0,full,22,1A.1
none,0.0,0.005,False,2,False,after_each_move,2.5,none,23,1A.1
none,1.2,0.005,True,2,False,after_each_move,2.5,none,24,1A.1
none,2.99,0.005,True,0,False,after_each_move,0.01,none,25,1A.1
objectLevel,1.11,0.005,True,8,True,after_each_move,2.5,full,26,1A.1
objectLevel,2.98,0.005,True,6,True,after_each_move,0.01,full,27,1A.1
objectLevel,0.69,0.005,True,8,True,after_each_move,2.5,full,28,1A.1
featureBased,2.51,0.005,True,3,True,after_each_move,0.01,full,29,1A.1
featureBased,0.92,0.005,True,5,True,after_each_move,2.5,full,30,1A.1
objectLevel,2.74,0.005,True,6,True,after_each_move,0.01,full,31,1A.1
none,3.33,0.005,True,1,False,after_each_move,1.0,none,32,1A.1
none,1.09,0.005,True,2,False,after_each_move,2.5,none,33,1A.1
objectLevel,1.12,0.005,True,7,True,after_each_move,1.0,full,34,1A.1
objectLevel,0.99,0.005,True,8,True,after_each_move,2.5,full,35,1A.1
none,3.41,0.005,True,1,False,after_each_move,1.0,none,36,1A.1
featureBased,1.78,0.005,True,4,True,after_each_move,1.0,full,37,1A.1
objectLevel,1.24,0.005,True,8,True,after_each_move,2.5,full,38,1A.1
featureBased,0.98,0.005,True,5,True,after_each_move,2.5,full,39,1A.1
featureBased,2.96,0.005,True,3,True,after_each_move,0.01,full,40,1A.1
featureBased,2.84,0.005,True,3,True,after_each_move,0.01,full,41,1A.1
featureBased,2.64,0.005,True,4,True,after_each_move,1.0,full,42,1A.1
none,1.09,0.005,True,2,False,after_each_move,2.5,none,43,1A.1
none,3.27,0.005,True,1,False,after_each_move,1.0,none,44,1A.1
featureBased,2.98,0.005,True,3,True,after_each_move,0.01,full,45,1A.1
none,1.6,0.005,True,0,False,after_each_move,0.01,none,46,1A.1
none,1.15,0.005,True,0,False,after_each_move,0.01,none,47,1A.1
featureBased,2.63,0.005,True,3,True,after_each_move,0.01,full,48,1A.1
objectLevel,0.98,0.005,True,8,True,after_each_move,2.5,full,49,1A.1
none,0.9,0.005,True,1,False,after_each_move,1.0,none,50,1A.1
objectLevel,2.47,0.005,True,6,True,after_each_move,0.01,full,51,1A.1
featureBased,0.73,0.005,True,4,True,after_each_move,1.0,full,52,1A.1
objectLevel,2.6,0.005,True,7,True,after_each_move,1.0,full,53,1A.1
none,0.0,0.005,False,2,False,after_each_move,2.5,none,54,1A.1
featureBased,2.99,0.005,True,3,True,after_each_move,0.01,full,55,1A.1
none,2.84,0.005,True,1,False,after_each_move,1.0,none,56,1A.1
featureBased,0.0,0.005,False,4,True,after_each_move,1.0,full,57,1A.1
featureBased,3.0,0.005,True,3,True,after_each_move,0.01,full,58,1A.1
none,1.58,0.005,True,0,False,after_each_move,0.01,none,59,1A.1
none,1.3,0.005,True,2,False,after_each_move,2.5,none,60,1A.1
objectLevel,0.0,0.005,False,7,True,after_each_move,1.0,full,61,1A.1
objectLevel,1.3,0.005,True,7,True,after_each_move,1.0,full,62,1A.1
featureBased,1.34,0.005,True,4,True,after_each_move,1.0,full,63,1A.1
none,0.0,0.005,False,1,False,after_each_move,1.0,none,64,1A.1
none,0.63,0.005,True,2,False,after_each_move,2.5,none,65,1A.1
objectLevel,0.0,0.005,False,8,True,after_each_move,2.5,full,66,1A.1
none,0.65,0.005,True,2,False,after_each_move,2.5,none,67,1A.1
featureBased,2.37,0.005,True,4,True,after_each_move,1.0,full,68,1A.1
objectLevel,0.71,0.005,True,7,True,after_each_move,1.0,full,69,1A.1
none,1.1,0.005,True,0,False,after_each_move,0.01,none,70,1A.1
featureBased,1.15,0.005,True,5,True,after_each_move,2.5,full,71,1A.1
featureBased,2.73,0.005,True,4,True,after_each_move,1.0,full,72,1A.1
objectLevel,1.36,0.005,True,8,True,after_each_move,2.5,full,73,1A.1
objectLevel,0.67,0.005,True,8,True,after_each_move,2.5,full,74,1A.1
none,0.72,0.005,True,2,False,after_each_move,2.5,none,75,1A.1
none,1.61,0.005,True,0,False,after_each_move,0.01,none,76,1A.1
featureBased,1.5,0.005,True,5,True,after_each_move,2.5,full,77,1A.1
featureBased,3.14,0.005,True,4,True,after_each_move,1.0,full,78,1A.1
featureBased,3.21,0.005,True,4,True,after_each_move,1.0,full,79,1A.1
objectLevel,1.07,0.005,True,8,True,after_each_move,2.5,full,80,1A.1
featureBased,3.01,0.005,True,4,True,after_each_move,1.0,full,81,1A.1
featureBased,2.8,0.005,True,4,True,after_each_move,1.0,full,82,1A.1
objectLevel,0.63,0.005,True,8,True,after_each_move,2.5,full,83,1A.1
none,1.33,0.005,True,0,False,after_each_move,0.01,none,84,1A.1
none,0.0,0.005,False,2,False,after_each_move,2.5,none,85,1A.1
featureBased,1.23,0.005,True,4,True,after_each_move,1.0,full,86,1A.1
none,0.0,0.005,False,1,False,after_each_move,1.0,none,87,1A.1
objectLevel,2.99,0.005,True,6,True,after_each_move,0.01,full,88,1A.1
objectLevel,0.82,0.005,True,8,True,after_each_move,2.5,full,89,1A.1
objectLevel,1.32,0.005,True,7,True,after_each_move,1.0,full,90,1A.1
objectLevel,2.88,0.005,True,6,True,after_each_move,0.01,full,91,1A.1
objectLevel,2.75,0.005,True,7,True,after_each_move,1.0,full,92,1A.1
none,3.0,0.005,True,0,False,after_each_move,0.01,none,93,1A.1
objectLevel,1.17,0.005,True,8,True,after_each_move,2.5,full,94,1A.1
featureBased,1.4,0.005,True,5,True,after_each_move,2.5,full,95,1A.1
featureBased,2.96,0.005,True,4,True,after_each_move,1.0,full,96,1A.1
none,0.0,0.005,False,0,False,after_each_move,0.01,none,97,1A.1
none,2.56,0.005,True,1,False,after_each_move,1.0,none,98,1A.1
objectLevel,1.03,0.005,True,8,True,after_each_move,2.5,full,99,1A.1
featureBased,1.39,0.005,True,5,True,after_each_move,2.5,full,100,1A.1
objectLevel,1.4,0.005,True,7,True,after_each_move,1.0,full,101,1A.1
none,3.01,0.005,True,1,False,after_each_move,1.0,none,102,1A.1
objectLevel,3.06,0.005,True,7,True,after_each_move,1.0,full,103,1A.1
objectLevel,1.14,0.005,True,8,True,after_each_move,2.5,full,104,1A.1
none,1.01,0.005,True,2,False,after_each_move,2.5,none,105,1A.1
featureBased,2.84,0.005,True,3,True,after_each_move,0.01,full,106,1A.1
objectLevel,0.76,0.005,True,8,True,after_each_move,2.5,full,107,1A.1
featureBased,0.0,0.005,False,5,True,after_each_move,2.5,full,108,1A.1
objectLevel,3.06,0.005,True,7,True,after_each_move,1.0,full,109,1A.1
objectLevel,2.69,0.005,True,7,True,after_each_move,1.0,full,110,1A.1
none,1.31,0.005,True,2,False,after_each_move,2.5,none,111,1A.1
none,0.82,0.005,True,2,False,after_each_move,2.5,none,112,1A.1
objectLevel,2.67,0.005,True,7,True,after_each_move,1.0,full,113,1A.1
featureBased,2.11,0.005,True,4,True,after_each_move,1.0,full,114,1A.1
none,1.17,0.005,True,2,False,after_each_move,2.5,none,115,1A.1
